EmployeeNumber,Attrition,Age,Gender,MaritalStatus,DistanceFromHome,Education,EducationField,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,Department,BusinessTravel,JobRole,JobLevel,OverTime,MonthlyIncome,HourlyRate,DailyRate,MonthlyRate,PercentSalaryHike,StockOptionLevel,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction,JobInvolvement,PerformanceRating,YearsAtCompany,YearsSinceLastPromotion,YearsInCurrentRole,YearsWithCurrManager,
1,Yes,41,Female,Single,1,College,Life Sciences,8,8,0,Sales,Travel_Rarely,Sales Executive,2,Yes,5993,94,1102,19479,11,0,Very High,Medium,Bad,Bad,High,3,6,0,4,5,
2,No,49,Male,Married,8,Below College,Life Sciences,1,10,3,Research & Development,Travel_Frequently,Research Scientist,2,No,5130,61,279,24907,23,1,Medium,High,Better,Best,Medium,4,10,1,7,7,
4,Yes,37,Male,Single,2,College,Other,6,7,3,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,2090,92,1373,2396,15,0,High,Very High,Better,Good,Medium,3,0,0,0,0,
5,No,33,Female,Married,3,Master,Life Sciences,1,8,3,Research & Development,Travel_Frequently,Research Scientist,1,Yes,2909,56,1392,23159,11,0,High,Very High,Better,Better,High,3,8,3,7,0,
7,No,27,Male,Married,2,Below College,Medical,9,6,3,Research & Development,Travel_Rarely,Laboratory Technician,1,No,3468,40,591,16632,12,1,Medium,Low,Better,Best,High,3,2,2,2,2,
8,No,32,Male,Single,2,College,Life Sciences,0,8,2,Research & Development,Travel_Frequently,Laboratory Technician,1,No,3068,79,1005,11864,13,0,Very High,Very High,Good,Better,High,3,7,3,7,6,
10,No,59,Female,Married,3,Bachelor,Medical,4,12,3,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,2670,81,1324,9964,20,3,Low,High,Good,Bad,Very High,4,1,0,0,0,
11,No,30,Male,Divorced,24,Below College,Life Sciences,1,1,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2693,67,1358,13335,22,1,High,Very High,Better,Good,High,4,1,0,0,0,
12,No,38,Male,Single,23,Bachelor,Life Sciences,0,10,2,Research & Development,Travel_Frequently,Manufacturing Director,3,No,9526,44,216,8787,21,0,High,Very High,Better,Good,Medium,4,9,1,7,8,
13,No,36,Male,Married,27,Bachelor,Medical,6,17,3,Research & Development,Travel_Rarely,Healthcare Representative,2,No,5237,94,1299,16577,13,2,High,High,Good,Good,High,3,7,7,7,7,
14,No,35,Male,Married,16,Bachelor,Medical,0,6,5,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2426,84,809,16479,13,1,Medium,Low,Better,Better,Very High,3,5,0,4,3,
15,No,29,Female,Single,15,College,Life Sciences,0,10,3,Research & Development,Travel_Rarely,Laboratory Technician,2,Yes,4193,49,153,12682,12,0,High,Very High,Better,Best,Medium,3,9,0,5,8,
16,No,31,Male,Divorced,26,Below College,Life Sciences,1,5,1,Research & Development,Travel_Rarely,Research Scientist,1,No,2911,31,670,15170,17,1,High,Low,Good,Best,High,3,5,4,2,3,
18,No,34,Male,Divorced,19,College,Medical,0,3,2,Research & Development,Travel_Rarely,Laboratory Technician,1,No,2661,93,1346,8758,11,1,Very High,Medium,Better,Better,High,3,2,1,2,2,
19,Yes,28,Male,Single,24,Bachelor,Life Sciences,5,6,4,Research & Development,Travel_Rarely,Laboratory Technician,1,Yes,2028,50,103,12947,14,0,High,High,Better,Good,Medium,3,4,0,2,3,
20,No,29,Female,Divorced,21,Master,Life Sciences,1,10,1,Research & Development,Travel_Rarely,Manufacturing Director,3,No,9980,51,1389,10195,11,1,Low,Medium,Better,Better,Very High,3,10,8,9,8,
21,No,32,Male,Divorced,5,College,Life Sciences,0,7,5,Research & Development,Travel_Rarely,Research Scientist,1,Yes,3298,80,334,15053,12,2,Medium,Low,Good,Best,Very High,3,6,0,2,5,
22,No,22,Male,Divorced,16,College,Medical,1,1,2,Research & Development,Non-Travel,Laboratory Technician,1,Yes,2935,96,1123,7324,13,2,Very High,Very High,Good,Good,Very High,3,1,0,0,0,
23,No,53,Female,Married,2,Master,Life Sciences,2,31,3,Sales,Travel_Rarely,Manager,4,No,15427,78,1219,22021,16,0,Very High,Low,Better,Better,Medium,3,25,3,8,7,
24,No,38,Male,Single,2,Bachelor,Life Sciences,5,6,3,Research & Development,Travel_Rarely,Research Scientist,1,Yes,3944,45,371,4306,11,0,Very High,Very High,Better,Better,High,3,3,1,2,2,
26,No,24,Female,Divorced,11,College,Other,0,5,5,Research & Development,Non-Travel,Manufacturing Director,2,No,4011,96,673,8232,18,1,High,Low,Good,Best,Very High,3,4,1,2,3,
27,Yes,36,Male,Single,9,Master,Life Sciences,7,10,4,Sales,Travel_Rarely,Sales Representative,1,No,3407,82,1218,6986,23,0,Low,High,Better,Good,Medium,4,5,0,3,3,
28,No,34,Female,Single,7,Master,Life Sciences,0,13,4,Research & Development,Travel_Rarely,Research Director,3,No,11994,53,419,21293,11,0,Medium,Low,Better,Better,High,3,12,2,6,11,
